Dutch,English
ik ,I 
je ,you
het ,It 
de ,the
dat ,that 
is ,is
een ,An 
niet ,not 
en ,and
van ,by 
wat ,what 
we ,we
in ,in
ze ,they
hij ,he
te ,at 
zijn ,are 
op ,on 
maar ,but 
er ,there
met ,of 
voor ,for 
die ,that
heb ,have 
me ,me
als ,as
was ,was
ben ,am
om ,to
dit ,this
mijn ,mine 
aan ,On 
u ,you
dan ,then
n ,n
naar ,Unpleasant 
weet ,know
hier ,here
zo ,Like this 
jij ,you
kan ,can
geen ,no 
nog ,yet 
ja ,yes
hem ,it 
heeft ,has
wel ,well 
moet ,must
wil ,want to 
hebben ,to have 
goed ,Good 
haar ,her 
nee ,no 
hoe ,how 
nu ,now
waar ,Where 
over ,about
ook ,also
doen ,doing 
uit ,out 
zou ,would 
ga ,go
of ,or
gaan ,to go 
bent ,are 
mij ,me 
bij ,bee 
al ,already
ons ,us 
had ,had
iets ,something 
daar ,there
jullie ,you guys
gaat ,go 
zal ,shall 
m ,m
hebt ,have
kom ,come
waarom ,Why 
meer ,more 
deze ,this 
moeten ,must 
t ,t
laat ,leave 
kunnen ,be able to 
dus ,so
jou ,you
denk ,think 
wie ,who
alles ,everything
echt ,Real 
doe ,do
door ,Through 
alleen ,only 
s ,s
toch ,still
zien ,to see 
weg ,road
eens ,at sometime 
man ,man
misschien ,maybe 
laten ,to leave 
nooit ,never
nou ,now
zei ,said
terug ,back
oké ,okay
mee ,along
niets ,nothing 
iemand ,someone
komt ,comes 
toen ,when 
veel ,a lot of 
even ,even
onze ,ours
gewoon ,Ordinary 
weten ,to know
komen ,to come
nodig ,necessary 
mensen ,people
tot ,until
worden ,become 
zeggen ,say
tijd ,time 
weer ,weather 
leven ,to live 
twee ,two 
net ,net
tegen ,in return for 
maken ,to make 
uw ,your 
zeg ,say 
omdat ,because 
zit ,sit 
wordt ,is becoming 
z ,z
hou ,hold
kijk ,look
heel ,all 
wij ,We 
altijd ,always 
mag ,may
gedaan ,done 
dood ,dead 
zeker ,Certainly 
af ,off
jaar ,year
hun ,their
wilde ,wild 
dag ,day
allemaal ,all 
jouw ,your 
huis ,house 
dacht ,thought 
doet ,do 
vader ,father
kunt ,can
wacht ,guard 
zie ,see 
vrouw ,woman 
keer ,time 
andere ,other
zoals ,such as
zij ,she
dank ,thanks
anders ,otherwise 
geef ,give 
waren ,were
willen ,want
zich ,himself 
bedankt ,Thank you 
één ,An 
mr ,Mr.
erg ,terribly 
wilt ,want
praten ,talk
spijt ,regret
geld ,money
kon ,could
werk ,work
oh ,oh
iedereen ,everyone 
beter ,better
werd ,became 
moeder ,mother
niemand ,nobody
vinden ,find
staat ,stands 
gezien ,seen 
niks ,nothing
binnen ,inside 
zitten ,to sit 
zullen ,shall 
na ,after
helpen ,to help 
wist ,knew
vind ,find
genoeg ,enough
sorry ,sorry
vast ,solid
elkaar ,each other 
ging ,went
uur ,o'clock 
klaar ,finished 
hele ,whole
neem ,take
leuk ,nice 
natuurlijk ,Naturally 
alle ,all
god ,god
maak ,make 
lang ,long
kwam ,came 
graag ,Please 
hé ,hey
toe ,to
drie ,three 
zegt ,say 
bedoel ,mean
deed ,did
dingen ,things
maakt ,makes
alsjeblieft ,please 
eerste ,first
krijgen ,to get 
zonder ,without 
steeds ,still 
hallo ,hello
houden ,keep
vertellen ,narrate 
ziet ,sees 
idee ,idea
geven ,give
achter ,behind
geweest ,been 
blijven ,to stay 
helemaal ,absolutely 
mooi ,Nice 
onder ,under
kijken ,to look 
zag ,saw
goede ,good 
naam ,name
moest ,had to 
blijf ,stay
kun ,can
auto ,car
luister ,listen
grote ,big
lijkt ,seems
snel ,fast
ooit ,ever 
vragen ,to ask 
paar ,pair
wanneer ,when 
want ,because
meneer ,sir 
nieuwe ,new
gebeurd ,happened 
zorgen ,to assure 
vriend ,friend 
beetje ,a little bit
kinderen ,children
gek ,crazy 
hand ,hand
vraag ,ask 
laatste ,last 
geweldig ,great
hadden ,had
zelfs ,even 
enige ,only
bang ,scared
nemen ,to take 
samen ,together 
eten ,to eat 
o ,o
zelf ,yourself 
hoor ,hear
geleden ,past 
staan ,to stand 
gevonden ,found
jongen ,boy
denken ,think 
vandaag ,Today 
denkt ,thinks
beste ,best
gezegd ,said 
thuis ,At home 
wereld ,world
jongens ,boys
heen ,to 
ken ,know
hen ,them
eerst ,first
eigen ,own 
zoon ,son 
gelijk ,directly 
buiten ,outside 
vertel ,tell 
morgen ,tomorrow
meisje ,girl
probleem ,problem 
alsof ,as if
geloof ,believe 
halen ,to fetch 
familie ,family
elke ,each 
zouden ,would
hoop ,heap 
politie ,Police 
mannen ,men
bijna ,almost
vermoord ,murdered
eigenlijk ,actually
werken ,work
verdomme ,damn it
horen ,to belong 
manier ,way
zat ,fed up 
vrienden ,friends
precies ,precisely 
kind ,child
hè ,hey
kleine ,small
begrijp ,understand
wou ,wish 
geeft ,gives
orde ,order
houdt ,holds 
verder ,further
vroeg ,early
stop ,stop
wachten ,to wait 
rustig ,Calm 
hoofd ,head
krijg ,get 
daarom ,that's why
gebeurt ,happens
soms ,sometimes
volgens ,according to 
dagen ,to dawn 
vond ,found
krijgt ,gets
gemaakt ,made 
kant ,side 
werkt ,works
open ,Open 
gehad ,had
voel ,feel
zaak ,case 
blij ,pleased 
volgende ,next
zoek ,search 
kans ,chance
vanavond ,this evening 
bel ,call
probeer ,try
zoeken ,to search 
oude ,old
ding ,thing
moment ,moment
best ,best
tussen ,between 
plaats ,place 
pas ,fit
gehoord ,heard 
vijf ,five 
verteld ,told
zet ,sets 
prima ,fine
hulp ,staff 
stad ,city
vindt ,finds 
brengen ,to take 
pijn ,pain
slecht ,bad 
geloven ,to believe 
eruit ,out 
minuten ,minutes
school ,school
plan ,plan
broer ,brother 
pak ,suit
jezelf ,yourself
hoeveel ,how many 
kamer ,room
betekent ,means 
spreken ,speak 
juist ,correct 
heet ,is called 
soort ,kind 
haal ,fetch
ergens ,somewhere
vier ,four
gebruiken ,to use 
ligt ,is 
blijft ,stays 
welke ,which
proberen ,try
dokter ,doctor
agent ,agent
help ,help
later ,later
voordat ,before 
ogen ,eyes
vrij ,free 
klopt ,Correct 
gaf ,gave
foto ,photo
word ,word
zodat ,so that
dochter ,daughter 
problemen ,problems
plek ,place 
water ,water
kent ,knows
week ,week
beginnen ,begin
praat ,talk
eerder ,earlier
lk ,I
mis ,miss
handen ,hands
deur ,door
baby ,baby
bellen ,to call 
boven ,above
groot ,big 
echte ,real
hoeft ,need
ie ,that
doden ,to kill
stoppen ,fuses 
moeilijk ,difficult 
dr ,Dr.
sinds ,since 
land ,country
spelen ,to play 
zoveel ,so much 
hetzelfde ,the same 
mevrouw ,Madam 
snap ,snap
breng ,bring
pakken ,to take 
druk ,Busy 
verhaal ,story 
lekker ,Tasty 
vrouwen ,women
schat ,Darling 
vergeten ,forget 
gebeuren ,to happen 
ervan ,of it 
kreeg ,got 
waarschijnlijk ,probably 
hoi ,hi
mogelijk ,possible
mooie ,nice 
bloed ,blood
wees ,be
nacht ,night
nieuws ,news
bed ,bed
liet ,left
lopen ,to walk 
gelukkig ,happy 
waarheid ,truth
reden ,rode 
papa ,dad
hoorde ,heard 
klinkt ,sounds 
maanden ,months
vermoorden ,murder
zorg ,concern 
dollar ,dollar
bezig ,busy 
voorbij ,past 
terwijl ,while
sta ,stand
zaken ,business
avond ,evening
tien ,ten
schuld ,debt
veilig ,safe
redden ,to rescue 
hart ,heart
zult ,will
duidelijk ,clearly 
stel ,couple 
the ,the
schiet ,shoot
eraan ,to it
zes ,six 
begin ,begin
gekomen ,arrived
vol ,full
vriendin ,girlfriend
rond ,round
voelt ,feels
baas ,boss 
